Tipo de información,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles
Fecha,SF311408,SF311411,SF311412,SF311413,SF311414,SF311415,SF311416,SF311418,SF311420,SF311421,SF311422,SF311423,SF311424,SF311425,SF311426,SF311427,SF311428,SF311429,SF311430,SF311431,SF311432,SF311433,SF311435,SF311436,SF311437,SF311438,SF311440,SF311441,SF311442,SF311443,SF311444,SF311445,SF311446,SF311447,SF311448,SF311449,SF311450,SF311451,SF311452,SF311453
01/08/2011,1770802580,904229612.6,783343569.6,120886043,297632560,296004495,1628065,4608944109,1147202359,1077521724,1036854545,40667179,69680634.89,21007260.55,19174034.55,1833226,48673374.34,972888146.6,718051023,717466780,584243,5156864474,471707020.5,0,76213344.3,6217445171,19884181,18996945,887236,33553445,20770690,12782755,9104559.14,979579380.8,978993750.8,0,585630,18459131,12868276,5590855
01/09/2011,1878140344,992160910.3,867579507.3,124581403,309521968,307765023,1756945,4631368843,1153800137,1083236186,1029977642,53258544,70563951.23,21465106.15,19635682.15,1829424,49098845.08,990488292.3,608940070,607360294,1579776,5197419460,485038575.5,0,81012041.34,6203314946,24200627,23671208,529419,19163042,4220528,14942514,9386212.07,943652572.1,943150792.1,0,501780,9493033,4099870,5393163
01/10/2011,1860381606,979061719.9,852028669.9,127033050,297659770,295746792,1912978,4722292966,1169138821,1098575466,1050976634,47598832,70563355.23,21374228.39,19653516.39,1720712,49189126.84,1001447230,691325308,688619889,2705419,5310571212,513049140.8,0,75229105.38,6359056315,24852730,23897473,955257,22186401,7265932,14920469,9239616.59,973091764.8,972400024.8,0,691740,19114591,13415799,5698792
01/11/2011,1896333582,978679108.9,848832686.9,129846422,320996018,319217780,1778238,4786314214,1159331141,1087954091,1043305328,44648763,71377049.97,21950036.13,20169056.13,1780980,49427013.84,1006873504,723775987,721157048,2618939,5330381785,489426069.4,0,54641502.03,6385071461,16337184,15419912,917272,24416497,9806074,14610423,9559216.19,994948771.2,994296251.2,0,652520,9428007,3857882,5570125
01/12/2011,2081526298,1066289582,933435144.7,132854437,341112511,339276030,1836481,4960125963,1151415860,1078955990,1030981302,47974688,72459869.95,22534673.61,20647456.61,1887217,49925196.34,1012057903,715125902,703774224,11351678,5547991481,515856568.2,0,72008949.85,6696737943,54507826,53431553,1076273,49400687,35873646,13527041,9827706.6,1013008962,1012309342,0,699620,22001281,22001281,0
01/01/2012,1977024819,990459003,855161193,135297810,338777520,336877860,1899660,4963954577,1187816226,1115074068,1064713936,50360132,72742157.36,22233535.92,20415645.92,1817890,50508621.44,1011375665,787737867,776592388,11145479,5531718869,496971187.6,0,70793104.49,6756553373,44206212,43112863,1093349,35364956,16377509,18987447,8687577.99,1133957818,1133082388,0,875430,2617940,2617940,0
01/02/2012,1938067673,967375356.1,831493984.1,135881372,327457232,325681973,1775259,4967753450,1211347826,1137711558,1078247106,59464452,73636268.3,22987530.06,20975487.06,2012043,50648738.24,1020750313,797587639,786521244,11066395,5535900386,487902016.4,0,80244919.3,6788577273,30098755,29164583,934172,29776365,10585409,19190956,9390051.01,1178912260,1178413170,0,499090,4499456,4490006,9450
01/03/2012,2025670843,1015678864,878527166.4,137151698,358567950,356857761,1710189,5063813574,1230653266,1156680410,1087885080,68795330,73972856.06,23124519.48,21124134.48,2000385,50848336.58,1030244462,777245003,765865405,11379598,5647415562,478987076.9,0,104614911.7,6909560156,20136683,19229297,907386,19013514,2358778,16654736,9668069.01,1211906717,1211517887,0,388830,1419611,1302496,117115
01/04/2012,1993418065,992646097.5,855858684.5,136787413,345493973,343468563,2025410,5027747965,1210139674,1136310353,1079955384,56354969,73829321.46,22737643.77,20855741.77,1881902,51091677.69,1056850287,767339939,755877530,11462409,5604362326,473907628.3,0,102706733.3,6944225441,29831943,29419934,412009,26314789,5175354,21139435,10204155.09,1266064245,1265587495,0,476750,7447982,7329066,118916
01/05/2012,2024555007,1017155925,878583035.7,138572889,342062251,339768769,2293482,5055211379,1221790423,1146794832,1085988353,60806479,74995591.34,23312095.26,21568360.26,1743735,51683496.08,1081065387,727800561,715664862,12135699,5685210098,524429935.6,0,105568783.8,7037153565,25824505,25375638,448867,33787032,14762986,19024046,10998354.14,1274307235,1273828175,0,479060,7026340,6898075,128265
01/06/2012,2103633907,1067500546,922096058.1,145404488,357885066,355921441,1963625,5100292843,1205198192,1129742190,1083036631,46705559,75456001.89,23647267.72,22069384.72,1577883,51808734.17,1102073249,689387495,678170227,11217268,5781908370,551955493.1,0,129660033.3,7208221851,43780855,42984232,796623,40418265,28114748,12303517,10997255.86,1322356660,1321861630,0,495030,8760445,8648591,111854
01/07/2012,2045683290,1029168159,886653124.1,142515035,346685996,344486472,2199524,5104114983,1172026342,1094928736,1049096413,45832323,77097605.94,24372541.76,22741078.76,1631463,52725064.18,1110369843,776035508,766210571,9824937,5790815652,573223781.9,0,113476887,7304817169,46504519,45342504,1162015,24540486,10543820,13996666,11002600.38,1423597618,1423177088,0,420530,8356294,8345017,11277
